# Frequency(Hz) Magnitude(dB)
6.401212297806987044e+04 -5.289865493774414062e+01
6.488332124281882716e+04 -5.358867645263671875e+01
6.576637642437026079e+04 -5.372698593139648438e+01
6.666144989411547431e+04 -5.385480880737304688e+01
6.756870521969339461e+04 -5.406877899169921875e+01
6.848830819488134875e+04 -5.474787521362304688e+01
6.942042686989268987e+04 -5.484146881103515625e+01
7.036523158208606765e+04 -5.493436813354492188e+01
7.132289498709409963e+04 -5.510922241210937500e+01
7.229359209037445544e+04 -5.575986862182617188e+01
7.327750027919019340e+04 -5.578135681152343750e+01
7.427479935502684384e+04 -5.585514068603515625e+01
7.528567156644912029e+04 -5.598718643188476562e+01
7.631030164240550948e+04 -5.662116241455078125e+01
7.734887682598612446e+04 -5.660359191894531250e+01
7.840158690863977245e+04 -5.668175888061523438e+01
7.946862426485698961e+04 -5.680356597900390625e+01
8.055018388732506719e+04 -5.744859313964843750e+01
8.164646342256072967e+04 -5.745944976806640625e+01
8.275766320702956000e+04 -5.760990524291992188e+01
8.388398630375538778e+04 -5.779885101318359375e+01
8.502563853942789137e+04 -5.853101348876953125e+01
8.618282854201691225e+04 -5.864559173583984375e+01
8.735576777889684308e+04 -5.886215972900390625e+01
8.854467059549082478e+04 -5.904724884033203125e+01
8.974975425444066059e+04 -5.976719284057617188e+01
9.097123897530988324e+04 -5.970883560180664062e+01
9.220934797482710565e+04 -5.958734512329101562e+01
9.346430750767742575e+04 -5.932521057128906250e+01
9.473634690784772101e+04 -5.962983703613281250e+01
9.602569863053699373e+04 -6.019844055175781250e+01
9.733259829463502683e+04 -6.079002761840820312e+01
9.865728472577939101e+04 -6.327594757080078125e+01
1.000000000000000000e+05 -6.522111511230468750e+01
