# Frequency(Hz) Magnitude(dB)
5.617081991128689879e+03 -2.022360610961914062e+01
5.693529886557817008e+03 -1.971111106872558594e+01
5.771018229807498756e+03 -1.916605377197265625e+01
5.849561181263205981e+03 -1.909238052368164062e+01
5.929173094031749315e+03 -1.906860923767089844e+01
6.009868516564238234e+03 -1.861686897277832031e+01
6.091662195314650489e+03 -1.814161300659179688e+01
6.174569077434668543e+03 -1.796529960632324219e+01
6.258604313505138634e+03 -1.782725524902343750e+01
6.343783260304699070e+03 -1.745344161987304688e+01
6.430121483616160731e+03 -1.708498382568359375e+01
6.517634761070972672e+03 -1.680707550048828125e+01
6.606339085032511321e+03 -1.655012130737304688e+01
6.696250665518527057e+03 -1.625696754455566406e+01
6.787385933163420304e+03 -1.605138397216796875e+01
6.879761542220781848e+03 -1.570205211639404297e+01
6.973394373606841327e+03 -1.537446689605712891e+01
7.068301537985340474e+03 -1.501334571838378906e+01
7.164500378894348614e+03 -1.495786094665527344e+01
7.262008475915670715e+03 -1.457733821868896484e+01
7.360843647887351835e+03 -1.419664573669433594e+01
7.461023956159978297e+03 -1.378139591217041016e+01
7.562567707897189393e+03 -1.364113712310791016e+01
7.665493459421219995e+03 -1.321041870117187500e+01
7.769820019603900619e+03 -1.273229408264160156e+01
7.875566453303805247e+03 -1.227987766265869141e+01
7.982752084850262690e+03 -1.199467849731445312e+01
8.091396501574657123e+03 -1.156132411956787109e+01
8.201519557389921829e+03 -1.108064842224121094e+01
8.313141376418649088e+03 -1.070544528961181641e+01
8.426282356670630179e+03 -1.033930778503417969e+01
8.540963173770411231e+03 -1.002277660369873047e+01
8.657204784735613430e+03 -9.727652549743652344e+00
8.775028431806684239e+03 -9.530225753784179688e+00
8.894455646328717194e+03 -9.231019973754882812e+00
9.015508252686164269e+03 -9.122989654541015625e+00
9.138208372291021078e+03 -8.818792343139648438e+00
9.262578427625419863e+03 -8.749125480651855469e+00
9.388641146339075931e+03 -8.450773239135742188e+00
9.516419565402655280e+03 -8.467824935913085938e+00
9.645937035317576374e+03 -8.128465652465820312e+00
9.777217224383097346e+03 -8.119068145751953125e+00
9.910284123021578125e+03 -7.757186889648437500e+00
1.004516204816246864e+04 -7.868133544921875000e+00
1.018187564768609809e+04 -7.492139816284179688e+00
1.032044990492785109e+04 -7.515371322631835938e+00
1.046091014324367643e+04 -7.089136123657226562e+00
1.060328203063773981e+04 -7.299160003662109375e+00
1.074759158445306093e+04 -6.865224838256835938e+00
1.089386517612590433e+04 -6.932638168334960938e+00
1.104212953600506989e+04 -6.517028808593750000e+00
1.119241175823659796e+04 -6.713981628417968750e+00
1.134473930571494202e+04 -6.271053314208984375e+00
1.149914001510172602e+04 -6.347845077514648438e+00
1.165564210191259735e+04 -5.946426391601562500e+00
1.181427416567339242e+04 -6.122104644775390625e+00
1.197506519514650063e+04 -5.689344406127929688e+00
1.213804457362831454e+04 -5.766008377075195312e+00
1.230324208431882653e+04 -5.368654251098632812e+00
1.247068791576417607e+04 -5.535364151000976562e+00
1.264041266737351543e+04 -5.126926422119140625e+00
1.281244735501074501e+04 -5.185064315795898438e+00
1.298682341666232969e+04 -4.831165313720703125e+00
1.316357271818250229e+04 -4.977220535278320312e+00
1.334272755911640161e+04 -4.566408157348632812e+00
1.352432067860257484e+04 -4.591701507568359375e+00
1.370838526135580651e+04 -4.297889709472656250e+00
1.389495494373135989e+04 -4.418230056762695312e+00
1.408406381987175700e+04 -4.008562088012695312e+00
1.427574644793724474e+04 -4.001800537109375000e+00
1.447003785642091316e+04 -3.788362503051757812e+00
1.466697355055004664e+04 -3.885423660278320312e+00
1.486658951877433901e+04 -3.483825683593750000e+00
1.506892223934241701e+04 -3.463155746459960938e+00
1.527400868696811995e+04 -3.339591979980468750e+00
1.548188633958723221e+04 -3.393236160278320312e+00
1.569259318520630040e+04 -3.002582550048828125e+00
1.590616772884464808e+04 -2.995410919189453125e+00
1.612264899957086163e+04 -2.956912994384765625e+00
1.634207655763505318e+04 -2.956478118896484375e+00
1.656449050169821203e+04 -2.594383239746093750e+00
1.678993147615978160e+04 -2.592218399047851562e+00
1.701844067858532071e+04 -2.606369018554687500e+00
1.725005986723491515e+04 -2.568109512329101562e+00
1.748483136869408918e+04 -2.252714157104492188e+00
1.772279808560883612e+04 -2.275531768798828125e+00
1.796400350452562998e+04 -2.287652969360351562e+00
1.820849170383825913e+04 -2.225109100341796875e+00
1.845630736184282432e+04 -1.945434570312500000e+00
1.870749576490234176e+04 -1.995225906372070312e+00
1.896210281572250096e+04 -1.993490219116210938e+00
1.922017504173987982e+04 -1.907615661621093750e+00
1.948175960362469050e+04 -1.657695770263671875e+00
1.974690430389890753e+04 -1.730890274047851562e+00
2.001565759567169152e+04 -1.731729507446289062e+00
2.028806859149403681e+04 -1.624128341674804688e+00
2.056418707233355963e+04 -1.400815963745117188e+00
2.084406349667160976e+04 -1.484037399291992188e+00
2.112774900972417163e+04 -1.505472183227539062e+00
2.141529545278823207e+04 -1.372798919677734375e+00
2.170675537271538269e+04 -1.173990249633789062e+00
2.200218203151439229e+04 -1.263076782226562500e+00
2.230162941608423353e+04 -1.304424285888671875e+00
2.260515224808002677e+04 -1.152029037475585938e+00
2.291280599391287615e+04 -9.823875427246093750e-01
2.322464687488576965e+04 -1.083860397338867188e+00
2.354073187746785334e+04 -1.141292572021484375e+00
2.386111876370808022e+04 -9.721508026123046875e-01
2.418586608179082759e+04 -8.299961090087890625e-01
2.451503317673509810e+04 -9.489936828613281250e-01
2.484868020123937458e+04 -1.016735076904296875e+00
2.518686812667402774e+04 -8.404350280761718750e-01
2.552965875422343379e+04 -7.085723876953125000e-01
2.587711472617943582e+04 -8.387145996093750000e-01
2.622929953738903714e+04 -9.006805419921875000e-01
2.658627754685742912e+04 -7.251243591308593750e-01
2.694811398950894727e+04 -6.201190948486328125e-01
2.731487498810854595e+04 -7.533969879150390625e-01
2.768662756534500659e+04 -7.943458557128906250e-01
2.806343965607886275e+04 -6.221885681152343750e-01
2.844538011975695190e+04 -5.490646362304687500e-01
2.883251875299595122e+04 -6.712284088134765625e-01
2.922492630233720774e+04 -6.911811828613281250e-01
2.962267447717488540e+04 -5.267829895019531250e-01
3.002583596286064130e+04 -4.853401184082031250e-01
3.043448443398612653e+04 -5.714149475097656250e-01
3.084869456784626163e+04 -5.916080474853515625e-01
3.126854205808628467e+04 -4.705257415771484375e-01
3.169410362853391780e+04 -4.342403411865234375e-01
3.212545704722012670e+04 -4.842815399169921875e-01
3.256268114059059008e+04 -5.096130371093750000e-01
3.300585580791063694e+04 -4.276428222656250000e-01
3.345506203586619085e+04 -3.874397277832031250e-01
3.391038191336353339e+04 -4.088954925537109375e-01
3.437189864653012046e+04 -4.351654052734375000e-01
3.483969657392026420e+04 -3.841266632080078125e-01
3.531386118192713184e+04 -3.468627929687500000e-01
3.579447912040451047e+04 -3.496170043945312500e-01
3.628163821850180102e+04 -3.770866394042968750e-01
3.677542750071381306e+04 -3.539714813232421875e-01
3.727593720314938400e+04 -3.163928985595703125e-01
3.778325879002129659e+04 -2.987594604492187500e-01
3.829748497036066692e+04 -3.288478851318359375e-01
3.881870971495877893e+04 -3.288784027099609375e-01
3.934702827353958128e+04 -2.877254486083984375e-01
3.988253719216550235e+04 -2.486228942871093750e-01
4.042533433088099264e+04 -2.784385681152343750e-01
4.097551888159540249e+04 -3.024177551269531250e-01
4.153319138620931335e+04 -2.558727264404296875e-01
4.209845375498824433e+04 -1.962394714355468750e-01
4.267140928518562578e+04 -2.249507904052734375e-01
4.325216267991965287e+04 -2.744693756103515625e-01
4.384082006730695866e+04 -2.241592407226562500e-01
4.443748901985667908e+04 -1.516571044921875000e-01
4.504227857412859157e+04 -1.802291870117187500e-01
4.565529925065830321e+04 -2.536277770996093750e-01
4.627666307415458868e+04 -1.950302124023437500e-01
4.690648359397071908e+04 -1.175994873046875000e-01
4.754487590485443798e+04 -1.428565979003906250e-01
4.819195666798119782e+04 -2.363719940185546875e-01
4.884784413227269397e+04 -1.652317047119140625e-01
4.951265815600602218e+04 -8.251571655273437500e-02
5.018652022871682129e+04 -9.624481201171875000e-02
5.086955349340053363e+04 -2.118415832519531250e-01
5.156188276901583595e+04 -1.304912567138671875e-01
5.226363457329440280e+04 -4.038047790527343750e-02
